Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
27,"S. Jha","A post covid machine learning approach in teaching and learning methodology to alleviate drawbacks of the e-whiteboards",2022,"Journal of Applied Science and Engineering (Taiwan)","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85118944784&origin=inward",1,"2024-06-23 22:48:18","Article","10.6180/jase.202204_25(2).0014","2708-9967","https://api.elsevier.com/content/abstract/scopus_id/85118944784",25,2,285,294,27,13.50,27,1,2,"","",""
18,"M. Iyyappan","A Novel AI-Based Stock Market Prediction Using Machine Learning Algorithm",2022,"Scientific Programming","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85128330200&origin=inward",2,"2024-06-23 22:48:18","Article","10.1155/2022/4808088","1058-9244","https://api.elsevier.com/content/abstract/scopus_id/85128330200",2022,,,,18,9.00,18,1,2,"","",""
11,"S. Ahmad","Issues of Clinical Identity Verification for Healthcare Applications over Mobile Terminal Platform",2022,"Wireless Communications and Mobile Computing","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85129505936&origin=inward",3,"2024-06-23 22:48:18","Article","10.1155/2022/6245397","1530-8669","https://api.elsevier.com/content/abstract/scopus_id/85129505936",2022,,,,11,5.50,11,1,2,"","",""
1,"S. Jha","A novel approach for decision support system in cricket using machine learning",2022,"International Journal of Computer Applications in Technology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85140969907&origin=inward",14,"2024-06-23 22:48:18","Article","10.1504/ijcat.2022.126097","0952-8091","https://api.elsevier.com/content/abstract/scopus_id/85140969907",69,1,86,92,1,0.50,1,1,2,"","",""
1,"H.A.M. Abdeljaber","XAI-Based Reinforcement Learning Approach for Text Summarization of Social IoT-Based Content",2022,"Security and Communication Networks","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85136067396&origin=inward",15,"2024-06-23 22:48:18","Article","10.1155/2022/7516832","1939-0114","https://api.elsevier.com/content/abstract/scopus_id/85136067396",2022,,,,1,0.50,1,1,2,"","",""
1,"S. Ahmad","An Integration of IoT, IoC, and IoE towards Building a Green Society",2022,"Scientific Programming","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85134477855&origin=inward",16,"2024-06-23 22:48:18","Review","10.1155/2022/2673753","1058-9244","https://api.elsevier.com/content/abstract/scopus_id/85134477855",2022,,,,1,0.50,1,1,2,"","",""
7,"M.O. Alhawarat","Effect of Stemming on Text Similarity for Arabic Language at Sentence Level",2021,"PeerJ Computer Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85107655553&origin=inward",5,"2024-06-23 22:48:18","Article","10.7717/PEERJ-CS.530","2376-5992","https://api.elsevier.com/content/abstract/scopus_id/85107655553",7,,1,18,7,2.33,7,1,3,"","",""
7,"H.A. Abdeljaber","Automatic Arabic Short Answers Scoring Using Longest Common Subsequence and Arabic WordNet",2021,"IEEE Access","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85107162077&origin=inward",6,"2024-06-23 22:48:18","Article","10.1109/ACCESS.2021.3082408","2169-3536","https://api.elsevier.com/content/abstract/scopus_id/85107162077",9,,76433,76445,7,2.33,7,1,3,"","",""
4,"M.Y. Uddin","Development of a Hybrid Algorithm for efficient Task Scheduling in Cloud Computing environment using Artificial Intelligence",2021,"International Journal of Computers, Communications and Control","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85116757029&origin=inward",8,"2024-06-23 22:48:18","Article","10.15837/ijccc.2021.5.4087","1841-9836","https://api.elsevier.com/content/abstract/scopus_id/85116757029",16,5,1,12,4,1.33,4,1,3,"","",""
1,"H.A.M. Abdeljaber","Profile-based semantic method using heuristics for web search personalization",2018,"International Journal of Advanced Computer Science and Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061426974&origin=inward",17,"2024-06-23 22:48:18","Article","10.14569/ijacsa.2018.090926","2158-107X","https://api.elsevier.com/content/abstract/scopus_id/85061426974",9,9,191,198,1,0.17,1,1,6,"","",""
9,"H.A.M. Abdeljaber","Program outcomes assessment method for multi- academic accreditation bodies: Computer science program as a case study",2017,"International Journal of Emerging Technologies in Learning","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85020136632&origin=inward",4,"2024-06-23 22:48:18","Article","10.3991/ijet.v12i05.6410","1868-8799","https://api.elsevier.com/content/abstract/scopus_id/85020136632",12,5,23,35,9,1.29,9,1,7,"","",""
